X,Y,time
0.4591,7.8214,7.7586091
0.4511,7.8271,7.7701857
0.4417,7.8331,7.7807103
0.4317,7.8382,7.7924478
0.4212,7.8445,7.8034725
0.4103,7.8504,7.8146651
0.3982,7.8564,7.8257377
0.3863,7.8612,7.8369769
0.3738,7.865,7.8485351
0.3609,7.8675,7.8595806
0.347,7.8681,7.8700602
0.3332,7.868,7.8815927
0.3191,7.8667,7.8926795
0.306,7.8654,7.9037099
0.2928,7.8633,7.9148303
0.2805,7.8604,7.9262504
0.2676,7.8571,7.9369736
0.2548,7.8532,7.9486914
0.2403,7.8479,7.9593591
0.2259,7.8429,7.9703816
0.2118,7.8378,7.9824025
0.1972,7.8333,7.9935152
0.1825,7.8297,8.0039681
